idx,English,Darija,MSA
0,It's at the end of the hall. I will bring you some of them now. If you want anything else just let me know.,كاين في اللاخر ديال هاد القاعة. انجيب ليك شويا دابا. و إلا حتاجيتي شي حاجا اخرى، قولها ليا.,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .
2,Do you make modifications?,واش كا دير التعديلات؟,هل تقومون بعمل تعديلات ؟
4,We want a table by the window.,بغينا ناخدو طابلة حدا الشرجم.,نريد مائدة بجانب النافذة .
5,"There, right in front of the tourist data.",راه تما، مقابل مكتب استعلامات السياح بالضبط.,هناك ، أمام بيانات السائح تماما .
9,I've never heard of this address near here.,ما عمري سمعت هاد العنوان هنايا.,لم اسمع بهذا العنوان من قبل بالقرب من هنا .
11,Continue down this road until you find a pharmacy.,سير نيشان حتا تشوف صيدلية.,استمر في السير في هذا الطريق حتى تجد صيدلية .
12,What is the latest color this season?,شنو هو اجدد لون هاد الموسم؟,ما هو أحدث لون هذا الموسم .
14,"In my case, it's often for work and rarely for enjoyment.",في الحالة ديالي، راه غالبا على الخدمة، قليل للمتعة.,في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .
15,I will stay for two days.,غادي نبقا يومين.,سأقيم لمدة يومين .
16,I want close waves in my hair,بغيت بيرمانونت مجهد.,أريد تمويج متقارب بشعري
17,I want to book two double rooms.,بغيت نحجز جوج غرف ثنائية.,أريد حجز غرفتين مزدوجتين .
18,I don't want to remove it.,ما بغيتهوش منزوع.,لا أريد إزالتها .
19,Does this bus stop on Astoner Street?,واش كا يحبس هاد الطوبيس في شارع ستونر؟,هل هذه الحافلة تتوقف في شارع أستونر ؟
24,Please open your mouth wide.,حل فمك مزيان عافاك.,من فضلك افتح فمك على مداه .
26,How much does breakfast cost?,شحال كا يدير الفطور؟,كم تكلفة الإفطار ؟
27,How can I help you ?,كيفاش نقدر نعاونك؟,كيف أستطيع مساعدتك ؟
29,Let's take a piece to eat.,يالاه ناخدو شي حاجة ناكلوها.,دعنا نأخذ قطعة لنأكلها .
30,Turn left at the third corner.,مع القنت التالت دور على ليسر.,اتجه يسارا عند الناصية الثالثة .
31,Can you clean these clothes?,واخا تغسل هاد لحوايج؟,هل لك أن تقوم بتنظيف هذه الملابس ؟
37,I give you his phone number and address.,غادي نعطيك رقم التلفون و العنوان ديالو.,أعطيك رقم تليفونه وعنوانه .
38,I paid for the meals and hotel fees in advance.,خلصت الماكلة و الأوطيل مسبقاً.,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .
